Census Year,CountyFIPSCode,Economic Development Region,Workforce Development Area,County Name,County Code,Age Range,Gender,Total Population,No High School Diploma,High School Diploma Or Equivalent,Some College No Degree,Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,BachelorDegreeAndMore,Total Post-Secondary Degrees,latitude,longitude
01/01/2014 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,45 to 64 Years,Female,38871,2639,16115,6110,3934,5891,4182,10073,14007,41.9941379,-80.0407591
01/01/2015 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,45 to 64 Years,Female,38822,2676,15863,6235,4021,6064,3963,10027,14048,41.9941379,-80.0407591
01/01/2016 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,45 to 64 Years,Female,38556,2634,15293,6218,4171,6324,3916,10240,14411,41.9941379,-80.0407591
01/01/2010 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,45 to 64 Years,Male,37104,3451,15838,6056,2608,5238,3913,9151,11759,41.9941379,-80.0407591
01/01/2011 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,45 to 64 Years,Male,37542,3592,16152,6180,2420,5312,3886,9198,11618,41.9941379,-80.0407591
01/01/2013 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,45 to 64 Years,Female,38798,2761,16182,6141,4022,5824,3868,9692,13714,41.9941379,-80.0407591
01/01/2012 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,45 to 64 Years,Female,38558,2711,16561,6265,3804,5354,3863,9217,13021,41.9941379,-80.0407591
01/01/2011 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,45 to 64 Years,Female,38274,2830,16462,6455,3432,5326,3769,9095,12527,41.9941379,-80.0407591
01/01/2010 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,45 to 64 Years,Female,37812,2940,16473,6286,3234,5122,3757,8879,12113,41.9941379,-80.0407591
01/01/2012 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,45 to 64 Years,Male,37868,3511,16315,6329,2591,5393,3729,9122,11713,41.9941379,-80.0407591
