"","X","year","rank","city","growth","workers","company","state","revenue","yrs_on_list","industry","metro","longitude","latitude","street.address","url","zip","founded"
"1",1326,2016,1270,"Wayne",304.2965,49,"Navigate(2)","PA",9660225,2,"Business Products & Services","Philadelphia",-79.9983,40.44,NA,0,0,0
"2",1469,2016,4757,"Pittsburgh",48.251,196,"Summa Technologies","PA",34301687,7,"IT Services","Pittsburgh, PA",-79.9966,40.44,NA,0,0,0
"3",1447,2016,4480,"Pittsburgh",56.7836,35,"Beyond Spots & Dots","PA",4806214,5,"Advertising & Marketing","Pittsburgh, PA",-79.9899,40.44,NA,0,0,0
"4",1330,2016,1453,"Pittsburgh",263.5032,29,"LunaMetrics","PA",5125511,4,"Business Products & Services","Pittsburgh, PA",-79.9806,40.43,NA,0,0,0
"5",1463,2016,4674,"butler",50.8984,6,"Turbie Twist","PA",8144508,3,"Consumer Products & Services","Pittsburgh, PA",-79.9803,40.85,NA,0,0,0
"6",1304,2016,421,"PITTSBURGH",914.3662,84,"EDWARD MARC BRANDS","PA",24415986,3,"Food & Beverage","Pittsburgh, PA",-79.9678,40.47,NA,0,0,0
"7",1371,2016,2410,"Butler",149.6587,11,"70E Solutions","PA",3007459,2,"Construction","Pittsburgh, PA",-79.9626,40.85,NA,0,0,0
"8",1410,2016,3641,"Pittsburgh",85.4736,20,"C-leveled","PA",2580579,2,"Business Products & Services","Pittsburgh, PA",-79.9539,40.46,NA,0,0,0
"9",1413,2016,3695,"Pittsburgh",83.6665,30,"Niche.com","PA",5179524,5,"Education","Pittsburgh, PA",-79.9301,40.46,NA,0,0,0
"10",1473,2016,4855,"Everett",45.3232,49,"Everett Cash Mutual Insurance Co.","PA",72821584,1,"Insurance",NA,-78.428,40.02,NA,0,0,0
"11",1347,2016,1775,"PHILIPSBURG",210.0623,27,"TMMData","PA",3058811,2,"Software","DuBois, PA",-78.2225,40.9,NA,0,0,0
"12",1432,2016,4095,"Philipsburg",69.5586,42,"DiamondBack Truck Covers","PA",6009413,5,"Manufacturing","State College, PA",-78.209,40.91,NA,0,0,0
"13",1423,2016,3919,"Philipsburg",75.291,32,"Advanced Powder Products","PA",4923278,2,"Manufacturing","State College, PA",-78.1945,40.9,NA,0,0,0
"14",1456,2016,4551,"Harrisburg",54.6921,196,"Penn Credit","PA",25412737,2,"Financial Services","Harrisburg-Carlisle, PA",-77.8194,40.78,NA,0,0,0
"15",1338,2016,1657,"Erie",226.3378,26,"AcousticSheep","PA",3903000,1,"Consumer Products & Services","Erie, PA",-77.6902,40.92,NA,0,0,0
"16",1331,2016,1456,"Chambersburg",263.0973,80,"Tapestry Technologies","PA",16057707,4,"Security","Chambersburg-Waynesboro, PA",-77.6473,39.99,NA,0,0,0
"17",1416,2016,3773,"Mechanicsburg",81.127,347,"Client Solution Architects","PA",56437876,6,"Business Products & Services","Harrisburg-Carlisle, PA",-76.985,40.19,NA,0,0,0
